Genotype,Soil_type,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Wac 5,Hancock,W1,A,W1_5,W1_7,4,P,d7,1,0.44,28.83,2.51,31.78,,,,,,,
Wac 5,Hancock,W1,A,W1_5,W1_8,4,P,d8,1,0.73,35.66,4.85,41.24,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_1,4,N,d1,1,1.79,13.05,4.03,18.87,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_3,4,N,d3,1,1.31,24.05,4.11,29.47,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_4,4,N,d4,1,0.61,7.35,3.75,11.71,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_6,4,N,d6,1,0.38,15.2,2.63,18.21,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_1,4,N,E1,2,0.54,1.48,4.2,6.22,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_2,4,N,E2,2,1.01,1.81,4.57,7.39,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_6,4,N,E6,2,1.17,1.59,2.34,5.1,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_9,4,N,E9,2,1,13.9,4.43,19.33,,,,,,,
Wac 5,Winterfell,W2,A,W2_7,W2_10,4,P,E10,2,0.64,0.23,2.75,3.62,,,,,,,
Wac 5,Winterfell,W2,A,W2_7,W2_3,4,P,E3,2,0.58,0,2.06,2.64,,,,,,,
Wac 5,Winterfell,W2,A,W2_7,W2_5,4,P,E5,2,NA,NA,NA,NA,,,,,,,
Wac 5,Winterfell,W2,A,W2_7,W2_8,4,P,E8,2,0.63,0,2.26,2.89,,,,,,,
Wac 663,Sterile,WA1,A,none,WA1_3,4,S,B3,1,0.28,4.77,5.09,10.14,,,,,,,
Wac 663,Sterile,WA1,A,none,WA1_5,4,S,B5,1,0.17,0,1.15,1.32,,,,,,,
Wac 663,Sterile,WA2,A,none,WA2_5,4,S,B5,2,0.14,4.65,3.02,7.81,,,,,,,
Wac 663,Sterile,WA2,A,none,WA2_9,4,S,B9,2,0.2,6.14,3.53,9.87,,,,,,,
Wac 663,Hancock,WA1,A,WA1_2,WA1_1,4,P,B1,1,0.24,9.71,5.15,15.1,,,,,,,
Wac 663,Hancock,WA1,A,WA1_2,WA1_4,4,P,B4,1,0.15,3.49,4.07,7.71,,,,,,,
Wac 663,Hancock,WA1,A,WA1_2,WA1_6,4,P,B6,1,0.36,16.23,5.1,21.69,,,,,,,
